Question,RAG+RAIN_Readability,context_adherence,completeness,correctness,answer_relevancy,readability_LLM_eval_Trott,bleu_score,rouge_1,bert_score,readability_score,readability_grade,lexical_diversity,text_length
Can I delete my old calendar history?,"Yes, you can delete your calendar events one by one, by date range, or all at once by visiting the Calendar section in the Alexa app or on the Amazon website. You can also choose to have your calendar events older than 3 or 18 months deleted automatically",25,85.0,50.0,85.0,90,3.430644576193548,0.3235294117647058,0.862189531326294,64.04,10,0.7916666666666666,48
Do I have choice or control options for my contacts' information?,"Yes, you can manage your contacts in the \""Your Account\"" section of the website. You can add, update, or delete contacts. If you don't want Alexa to access your contacts, you can adjust your settings in the Alexa app or on your device.",50,65.0,85.0,,95,4.279286679644953,0.3947368421052631,0.887268602848053,82.34,5,0.7209302325581395,43
Can I hide my email address?,"You can manage your email address and other contact information in the \""Your Account\"" section of the website. However, you cannot hide it entirely as we use it to communicate with you about your orders, account activity, and other important information.",75,,85.0,83.0,90,10.814442950879048,0.463768115942029,0.8879402875900269,42.21,13,0.8536585365853658,41
I want to change my name.," To change your name in your Amazon account, go to the \""Your Account\"" section of the website. Click on the \""Personal Information\"" tab, then select \""Edit\"" next to your name. Make the desired changes and click \""Save and Continue\"" to complete the process.",35,85.0,66.0,40.0,100,1.692064801271104,0.1772151898734177,0.8414686322212219,73.88,8,0.7906976744186046,43
I want to edit my phone number.,"To edit your phone number, you can go to the \""Your Account\"" section of the Amazon website and click on the \""Contact Information\"" tab. From there, you can update your phone number and other contact details.",90,96.0,90.0,50.0,95,4.003759215740339,0.40625,0.8756559491157532,70.13,8,0.8055555555555556,36
Can you delete information about my time zone?,"I'm unable to delete specific types of information for you. However, you can manage your content and devices associated with your account to delete certain information. For example, you can delete your location information in the Alexa app under Settings > Location.
 ",85,40.0,90.0,65.0,90,1.3213610938541562,0.3620689655172414,0.8769733309745789,40.65,10,0.8095238095238095,42
Can you delete my voice recordings?,"Yes, you can delete your voice recordings one by one, by date range, by Alexa-enabled device, or all at once. You can also choose to have your voice recordings older than 3 or 18 months deleted automatically. If you choose not to save any voice recordings, we will automatically delete your voice recordings after we process your requests and all of the voice recordings currently in your Voice History as well.",90,,100.0,95.0,95,2.1831792851719527,0.3585858585858585,0.8921845555305481,64.34,10,0.704225352112676,71
Are you sharing my age with others?,"No, we do not share your age with others unless you give us permission or when required by law.",80,80.0,80.0,100.0,95,1.0419383019417825,0.2291666666666666,0.8392572999000549,77.57,6,1.0,19
Who can access information about my appointments?,"We do not collect or store information about your appointments. The information you can access in your account includes your name, address, payment options, profile information, Prime membership, household settings, and purchase history. For more information, you can refer to the sources provided.",30,20.0,,40.0,85,2.306418910775959,0.2479338842975206,0.8382335901260376,48.5,9,0.8604651162790697,43
Does the company share user's contacts' information with a third party?,"Amazon shares customers' personal information with third parties only as described in their privacy notice. For instance, when you order products from third-party sellers through Amazon's stores, your personal information related to those transactions is shared with the third party. Additionally, Amazon employs other companies and individuals to perform functions on their behalf, and these third-party service providers have access to personal information needed to perform their functions but may not use it for other purposes.",100,75.0,90.0,65.0,90,3.4502714671285233,0.3466666666666667,0.8612353205680847,28.88,15,0.7763157894736842,76
