Question,Designed_Answer_1,context_adherence,completeness,correctness,answer_relevancy,readability_LLM_eval_Trott,bleu_score,rouge_1,bert_score,readability_score,readability_grade,lexical_diversity,text_length
can i delete my old calendar history?,"Sure, you can tell Alexa to manage or delete any calendar event for you.",100.0,50.0,60.0,58.0,95,2.3681007563963874,0.3529411764705882,0.8927751779556274,91.11,5,1.0,14
do i have choice or control options for my contacts' information?,"Once you have registered for Alexa Communication on your Alexa App, your contacts are auto-updated from your tablet or mobile phone. You can disable contact import to delete previously imported contacts from your device.",70.0,75.0,,90.0,90,6.069953561441972,0.4615384615384615,0.924590826034546,54.22,12,0.8235294117647058,34
can i hide my email address?,"We collect your email for Amazon services. However, You can edit or update your email address from your account.",60.0,30.0,90.0,40.0,95,2.5004973835805906,0.2978723404255319,0.8445063829421997,70.29,6,0.8421052631578947,19
i want to change my name.,Visit the Alexa Profile Settings on your Alexa App to edit information on your name.,60.0,,90.0,20.0,90,1.3815720096106128,0.1176470588235294,0.8508440852165222,64.71,7,0.8,15
i want to edit my phone number.,If you have provided a phone number you can edit this in your Amazon Account Settings.,70.0,60.0,90.0,85.0,95,1.0577547987404383,0.2727272727272727,0.860781192779541,72.16,7,0.9375,16
can you delete information about my time zone?,Your time zone can be a result of your current location settings and is used to personalize your experience. You can change your device's location at any time by selecting your device's location on your Alexa App.,80.0,55.0,100.0,40.0,90,0.4530781693692298,0.2831858407079646,0.8566533327102661,61.16,9,0.7567567567567568,37
can you delete my voice recordings?,"You can delete your voice recordings -one by one, by date range, with an Alexa-enabled device, using attributed voice ID, or all at once by visiting Alexa privacy in your settings. If you choose not to save any voice recordings, we will automatically delete your voice recordings after we process your requests.",80.0,40.0,100.0,100.0,90,0.3992011351308063,0.2758620689655172,0.8813218474388123,62.01,15,0.7884615384615384,52
are you sharing my age with others?,"By default, we do not share your information with anyone. However, you can grant sharing permissions through your Settings under Alexa privacy.",62.0,35.0,85.0,60.0,95,2.86414849848824,0.3838383838383838,0.8953402042388916,60.31,9,0.9545454545454546,22
who can access information about my appointments?,"Calendars are no longer shared between adults in your Amazon households. You can ask Alexa to switch to your account to check your calendar. However, content from your calendar might be available to anyone using your Alexa devices.",95.0,88.0,85.0,85.0,90,16.324054212111545,0.5862068965517242,0.9179271459579468,75.5,6,0.7894736842105263,38
does the company share user's contacts' information with a third party?,We are not selling your personal information to others but might share it under certain circumstances such as when you're enabling third-party skills through our Alexa services. You will receive notice when personal information about you might be shared with third parties and you will have an opportunity to choose not to share the information.,85.0,,,75.0,85,4.54842602323321,0.328125,0.8499810099601746,52.02,12,0.8181818181818182,55
does it save my email contacts and sell it to 3rd parties?,"By default, we do not share your information with anyone. However, you can grant sharing permissions through your Settings under Alexa privacy.",60.0,30.0,85.0,33.0,95,2.86414849848824,0.3838383838383838,0.8953402042388916,60.31,9,0.9545454545454546,22
do you share my location with other people?,"We may share your location with apps and websites that use your location for example to provide directions, weather information, or information on local attractions or restaurants. You should carefully review their privacy policy before using these services. If you have granted them permission to access additional information, you can review these permissions in your Alexa Privacy Settings in the Alexa App.",85.0,80.0,95.0,70.0,85,18.701776834978197,0.4594594594594594,0.8985821604728699,33.54,15,0.8225806451612904,62
are you sharing my name?,"By default, we keep all of your personal information, including your name, private and don't share it, unless you allow it. For example, if you choose to share your name and email with a restaurant booking skill for reservations, you can easily grant permission in the Privacy settings on the Alexa app or online.",65.0,95.0,85.0,80.0,90,4.30763051777673,0.3819095477386935,0.8785650134086609,52.53,9,0.8703703703703703,54
who has access to my phone number?,When you use Alexa Calling to call someone via Alexa we will display your mobile phone number as a caller ID. You can change the setting in your contact card in the Alexa App.,90.0,50.0,,,96,29.616996662109774,0.6578947368421053,0.9385695457458496,88.06,6,0.8529411764705882,34
who has access to my time zone?,"Third-Party Service Providers may receive access to your time zone. In addition, transactions involving third parties, business transfers and protection of Amazon and others may involve sharing of your time zone. These third-party service providers have access to time zone information needed to perform their functions, but may not use it for other purposes.",90.0,60.0,85.0,85.0,85,0.880809293799593,0.2204724409448819,0.8297059535980225,53.21,9,0.7962962962962963,54
who can access my voice recordings?,You can access your voice recordings in your Voice History in the Alexa Privacy Settings.,90.0,60.0,95.0,50.0,95,1.4486551941179522,0.4,0.9007576704025269,64.71,8,0.8666666666666667,15
what does the privacy policy say in regards to saving my name?,"To provide you with a personalized experience, we save your profile information, but rest assured that we do not share your personal information with others.",75.0,60.0,,60.0,95,0.2407882801661797,0.2463768115942029,0.8334640264511108,37.64,13,0.88,25
what is the latest privacy policy in regards to processing my voice?,Our latest privacy policy states that you supply us with your voice recordings when you speak to Alexa.,100.0,75.0,83.0,65.0,95,14.594102235107329,0.4230769230769231,0.8952789902687073,70.13,9,0.9444444444444444,18
why do you know my age?,We collect your birth date for Amazon services.,80.0,,80.0,65.0,100,0.2742947424302152,0.1886792452830188,0.8548226952552795,80.28,2,1.0,8
why do you know my calendar appointments?,"We use your calendar events to operate, provide, develop and improve the products and services we offer our customers. You can unlink your calendar anytime through the Alexa App.",,55.0,90.0,90.0,95,39.29202036846993,0.6530612244897959,0.9314066767692566,56.76,8,0.8620689655172413,29
why is all my contacts' personal information needed?,We ask you to grant permission to your contacts to help you communicate with your friends and family via Alexa.  You can manage your contacts in the Communication Settings in your Alexa App.,65.0,45.0,80.0,70.0,90,0.6454895427799058,0.28,0.8692533373832703,63.19,9,0.7575757575757576,33
why did you add all my contacts' phone numbers to my contact book?,You may have granted access to contacts for calling and messaging features. You can undo so in the Alexa App in the mobile device settings.,50.0,45.0,80.0,70.0,90,0.1964695887045666,0.2394366197183098,0.8615080118179321,75.71,6,0.88,25
why do you know my email address?,"We store information on your account such as your name, location and email. We collect this information to provide and continuously improve our services.",90.0,,80.0,74.0,95,3.3755297827442026,0.4594594594594595,0.8823002576828003,50.84,9,0.8333333333333334,24
why do you know my location?,"If you mean why we save your location, we use your location to provide services such as weather or restaurant recommendations.  We are also using your location to enable certain features such as location-based reminders.",60.0,60.0,100.0,85.0,95,3.519711546959067,0.4070796460176991,0.883930504322052,45.25,11,0.8,35
for what purpose is my name collected?,Your name is collected to give you a personalized and improved experience. You can also create a voice ID that allows Alexa to call you by your name. This can be managed in your Alexa profile settings online or in your Alexa app.,95.0,25.0,100.0,100.0,95,5.401123897811117,0.453781512605042,0.8844816088676453,73.88,6,0.7906976744186046,43
what do you need my phone number for?,Your phone number is saved to send and receive calls and messages for certain Alexa-enabled products.,85.0,70.0,100.0,90.0,95,0.0242895618830348,0.2027027027027027,0.873315691947937,72.16,6,0.9375,16
do you need to know my time zone?,We collect your Time Zone automatically to provide you with a more effective experience.,,83.0,50.0,95.0,95,0.4263399404291605,0.2456140350877192,0.8705896735191345,31.89,11,1.0,14
why do you record my voice?,"Your data allows me to respond to you and helps me learn from our interactions so that I can better help you. For example, the more variation in spoken language I learn, the better I'll be at understanding what you mean. You can manage and delete your voice recordings at any time in the Alexa Privacy Settings.",65.0,60.0,90.0,90.0,95,1.988486799522352,0.3043478260869565,0.8574339151382446,69.11,8,0.8070175438596491,57
can the assistant pull information from my phone's calendar?,You can link your calendar account to your Alexa in the Alexa App. This will allow anyone with access to your Alexa devices to manage events. The Alexa Calendar is stored in the cloud.,95.0,,100.0,,95,12.62383524579695,0.6136363636363636,0.9146304726600648,85.39,4,0.7352941176470589,34
does the assistant have access to my contacts?,You may have granted access to contacts for calling and messaging features. You can undo so in the Alexa App in the mobile device settings.,90.0,,85.0,90.0,85,0.3427849142782977,0.2985074626865671,0.8786427974700928,75.71,6,0.88,25
what's my address?,"To see, edit or delete your current address, open the Alexa App or your Amazon profile settings and navigate to device location.",60.0,,90.0,70.0,90,1.3445513266746814,0.1724137931034483,0.7924895286560059,57.61,12,0.9090909090909092,22
what is my name?,It seems you haven't created a voice ID which would allow me to call you by your name. You can manage your personal information by visiting the Alexa Profile Settings online or in your Alexa App.,50.0,,100.0,,90,4.49522133223909,0.1941747572815534,0.8404892683029175,70.13,7,0.8611111111111112,36
do you know my phone number?,We receive and store your phone number in relation to Amazon services.,100.0,60.0,90.0,70.0,100,1.1969373218108912,0.3692307692307692,0.8764821887016296,67.76,7,1.0,12
how do you process my audio recordings?,"Our systems are designed to record as little audio as possible. Therefore, we only stream to the cloud if the wake word was detected and minimize the amount of background noise in the recording. We verify the wake word detection in the cloud and only if confirmed, continue processing.",90.0,60.0,85.0,95.0,90,6.963570664999388,0.4,0.8964613676071167,63.39,8,0.7142857142857143,49
does the assistant turn on my mic without my knowledge?,"Your device is only enabled if it detects the wake word. To ensure that Alexa is only recording if you want it to, we use two detection mechanisms and are continuously improving our technology. The visual and audible indicators on your device will show when the wake word was detected and audio is processed. You can manage and delete your voice recordings in the Alexa Privacy Settings in your Alexa App.",,,95.0,72.0,85,2.364372953887037,0.4778761061946902,0.8723432421684265,61.87,9,0.7605633802816901,71
is my calendar stored on the device?,Linked calendars are saved on a cloud so you can access them using Alexa.,95.0,,100.0,70.0,90,17.398239655714114,0.5405405405405405,0.9427525997161864,82.65,5,1.0,14
do they keep my contacts' information?,"When you register for Alexa Communication on your Alexa app, you will be asked to import your contacts from your device, which will then appear as contacts in your Alexa app.",100.0,,90.0,60.0,90,7.51525452733151,0.4460431654676259,0.9304825067520142,56.93,9,0.7419354838709677,31
how long will my location history be kept?,"You can delete location history collected by Enhanced Location Services, however, this does not delete your data from other devices you use.",70.0,40.0,85.0,,90,5.30512549099213,0.4318181818181818,0.9154663681983948,40.69,12,0.9545454545454546,22
how can you guarantee my location information is secure?,"We use various measures to ensure security and privacy of your location information. These include that we only transmit this information by using encryption protocols and maintain physical, electronic and procedural safeguards when collecting and storing your location information.",75.0,,100.0,90.0,88,0.7883654593389827,0.2801932367149758,0.8852874040603638,9.38,16,0.8461538461538461,39
for how long would my name be stored in the database?,"At Amazon Alexa, we try to minimize the data we retain while still allowing Amazon to provide personalised services to our customers.",70.0,40.0,95.0,50.0,90,0.7032674991999815,0.1917808219178082,0.8348674178123474,49.15,11,0.8181818181818182,22
is the information on my time zone stored?,"To personalize your experience, we store the time zone information you have defined in your account.",75.0,40.0,50.0,90.0,95,0.462410727949155,0.2985074626865671,0.7952913045883179,46.78,10,0.9375,16
do you store my voice recordings locally or on a server?,"When you speak to Alexa, a recording of what you said will be sent to the cloud. However you can turn on Do Not Send Voice Recordings, so the audio of your requests to Alexa will be processed on your device.",60.0,45.0,50.0,,90,0.1298899568799172,0.2345679012345679,0.8747805953025818,84.51,7,0.7560975609756098,41
