Question	Document ID	Title	RAG+RAIN_Flesh-Kincaid-Readability_BERT_BERT
Can I delete my old calendar history?	privacy-FAQ-5	Privacy FAQ	" Yes, you can delete your calendar events one by one, by date range, or all at once by visiting the Calendar section in the Alexa app or on the Amazon website.
"
Do I have choice or control options for my contacts' information?	privacy-Notice-9	Privacy Notice	" Yes, you can manage your contacts in the ""Your Account"" section of the website. You can add, update, or delete contacts. If you don't want Alexa to access your contacts, you can disable this feature in the Alexa app or on the website.
"
Can I hide my email address?	privacy-FAQ-7	Privacy FAQ	" You can manage your email address and other contact information in the ""Your Account"" section of the website. However, you cannot hide it entirely as we need it to communicate with you about your orders, account activity, and other important information.
"
I want to change my name.	privacy-Notice-8	Privacy Notice	" To change your name, you need to update your account information. You can do this by logging into your Amazon account and visiting the ""Your Account"" section. From there, you can edit your personal information, including your name.
"
I want to edit my phone number.	privacy-Notice-8	Privacy Notice	" To edit your phone number, you can go to the ""Your Account"" section of the Amazon website and click on the ""Contact Information"" tab. From there, you can update your phone number and other contact details.
"
Can you delete information about my time zone?	privacy-FAQ-5	Privacy FAQ	" I'm unable to delete specific types of information for you, but you can manage your content and devices associated with your account to delete information. For example, you can delete your location information in the Alexa app under Settings > Location.
"
Can you delete my voice recordings?	privacy-FAQ-5	Privacy FAQ	" Yes, you can delete your voice recordings one by one, by date range, by Alexa-enabled device, or all at once by visiting Settings > Alexa Privacy in the Alexa app or https://www.amazon.com/alexaprivacysettings. You can also choose to have your voice recordings older than 3 or 18 months deleted automatically.
"
Are you sharing my age with others?	privacy-Notice-5	Privacy Notice	" Amazon Europe does not share your personal information, including your age, with others except as described in their Privacy Notice. They share personal information with third parties when you make transactions involving third parties, engage third party service providers, or in the context of business transfers. They also share personal information to comply with the law, enforce their Conditions of Use, or protect the rights, property, or safety of Amazon Europe, their users, or others.
"
Who can access information about my appointments?	privacy-Notice-8	Privacy Notice	" We do not collect or store information about your appointments. The information you can access in your account includes your name, address, payment options, profile information, Prime membership, household settings, and purchase history. For more information, you can refer to the sources provided.
"
Does the company share user's contacts' information with a third party?	privacy-Notice-5	Privacy Notice	" Amazon shares customers' personal information only as described in their privacy notice. For transactions involving third parties, Amazon makes available to you services, products, applications, or skills provided by third parties for use on or through Amazon Services. In such cases, Amazon shares customers' personal information related to those transactions with that third party. Amazon also employs other companies and individuals to perform functions on their behalf. These third-party service providers have access to personal information needed to perform their functions, but may not use it for other purposes. They must process the personal information in accordance with Amazon's privacy notice and as permitted by applicable data protection laws.
"
Does it save my email contacts and sell it to 3rd parties?	privacy-Notice-5	Privacy Notice	" Amazon Europe does not sell your personal information to third parties without your consent. However, there are certain situations where your personal information may be disclosed to third parties, such as when you order products from third-party sellers through Amazon's stores, download applications from third-party application providers from Amazon's App Store, or enable third-party skills through Amazon's Alexa services. In these cases, your personal information is shared with the third party to facilitate the transaction or provide the service. Additionally, Amazon may share your personal information with third-party service providers who perform functions on Amazon's behalf, such as fulfilling orders, delivering packages, sending postal mail and email, removing repetitive information from customer lists, analyzing data, providing marketing assistance, providing search results and links (including paid listings and links), processing payments, transmitting content, assessing and managing credit risk, and providing customer service. These third-party service providers have access to personal information needed to perform their functions, but may not use it for other purposes.
"
Do you share my location with other people?	privacy-Notice-5	Privacy Notice	" Amazon Europe does not share your precise location with third parties without your consent, except as necessary to provide you with the services and features you request, or as required by law. For example, if you use the location feature in the Alexa app, we may share your device's location with your contacts to help you share your location with them.
"
Are you sharing my name?	privacy-Notice-5	Privacy Notice	" Amazon Europe shares your personal information only as described in their privacy notice. This includes transactions involving third parties, third party service providers, business transfers, and protection of Amazon Europe and others. However, they will give you notice and an opportunity to choose not to share the information if it is to be shared with third parties for other purposes.
"
Who has access to my phone number?	privacy-Notice-8	Privacy Notice	" Your phone number is used to communicate with you about your orders, account activity, and promotional offers. It is also used to enable certain features, such as voice ID for Alexa. Access to your phone number is granted to Amazon employees and contractors on a need-to-know basis to provide customer service, process orders, and resolve technical issues.
"
Who has access to my time zone?	privacy-Notice-8	Privacy Notice	" Your time zone is a piece of information that is associated with your account. Access to this information is controlled by Amazon's privacy policy and data protection practices. According to the sources provided, Amazon participates in the EU-US and Swiss-US Data Privacy Frameworks, which means that they have committed to adhering to certain privacy principles when handling personal information from European Union and European Economic Area member countries, the United Kingdom, and Switzerland. If you have any inquiries or complaints about how your personal information is handled, you can contact Amazon at eu-privacy@amazon.de.
"
Who can access my voice recordings?	privacy-FAQ-7	Privacy FAQ	" Your voice recordings are associated with your Amazon account and can be accessed by you through the Alexa Privacy settings in the Alexa app or on the Alexa Privacy Settings website. Amazon employees do have access to voice recordings for the purpose of improving Alexa's speech recognition and natural language understanding. However, access to voice recordings is limited to a small number of employees who are trained to handle such data and are required to adhere to strict confidentiality requirements.
"
What does the privacy policy say in regards to saving my name?	privacy-Notice-11	Privacy Notice	" According to the privacy policy, your personal information is kept to enable your continued use of Amazon Services, for as long as it is required to fulfill the relevant purposes, or as otherwise communicated to you. It doesn't specifically mention the name, but it does state that they retain your transaction history and improve the relevancy of products and content they recommend, which could include using your name for personalized experiences.
"
Why do you know my age?	privacy-Notice-8	Privacy Notice	" We don't have access to your age. The information we collect includes your name, address, payment options, profile information, Prime membership, household settings, and purchase history. We use this information to provide and continually improve our products and services.
"
Why do you know my calendar appointments?	privacy-Notice-8	Privacy Notice	" We do not access or store your calendar information unless you have given us permission to do so. If you use the Alexa Calendar Skill, you can add, modify, and delete calendar events, and Alexa can read your calendar events to you.
"
Why did you add all my contacts' phone numbers to my contact book?	privacy-Notice-3	Privacy Notice	" I'm an assistant and I don't have the ability to access or modify your personal data. However, I can tell you that Amazon may use your personal information to provide you with voice-enabled services, such as making calls to your contacts using Alexa. When you use this feature, Alexa may access your contacts list to suggest phone numbers to call. You can manage your contacts list in the Alexa app or on your device.
"
Why do you know my email address?	privacy-Notice-8	Privacy Notice	" We collect your email address to communicate with you, for example, to send you updates about your orders, notifications about special offers, and other important information related to your Amazon account.
"
For what purpose is my name collected?	privacy-Notice-3	Privacy Notice	" Your name is collected to provide, troubleshoot, and improve Amazon Services. It's used to identify you and to communicate with you about orders, products, and services. It's also used to personalize your experience with Amazon Services, such as voice recognition for Alexa.
"
