Question,RAG+MultiRAIN_Readability+Correctness,context_adherence,completeness,correctness,answer_relevancy,readability_LLM_eval_Trott,bleu_score,rouge_1,bert_score,readability_score,readability_grade,lexical_diversity,text_length
can i delete my old calendar history?," Yes, you can delete your calendar events one by one, by date range, or all at once by visiting the Calendar section in the Alexa app or on the Amazon website. You can also choose to have your calendar events older than 3 or 18 months deleted automatically.
",70.0,85.0,40.0,90.0,90,3.453783827607845,0.3235294117647058,0.8632822036743164,64.04,9,0.7916666666666666,48
do i have choice or control options for my contacts' information?," Yes, you can manage your contacts in the ""Your Account"" section of the website. You can add, update, or delete contacts. If you don't want Alexa to call or message your contacts, you can disable the feature in the Alexa app.
",60.0,80.0,80.0,95.0,90,3.665944994887059,0.3733333333333333,0.8869864344596863,82.95,5,0.7317073170731707,41
can i hide my email address?," You can manage your email address and other contact information in the ""Your Account"" section of the website. However, you cannot hide it completely as it is required for certain features and services, such as receiving order confirmations and communication from Amazon.
",75.0,75.0,100.0,70.0,90,10.369816700638207,0.4,0.8923331499099731,41.7,13,0.8809523809523809,42
i want to change my name.," To change your name, you need to update your account information. You can do this by logging into your Amazon account and visiting the ""Your Account"" section. From there, you can edit your personal information, including your name. Keep in mind that changing your name may affect your voice ID, and you may need to retrain Alexa to recognize your new name.
",,90.0,50.0,50.0,90,2.066182288760249,0.2448979591836734,0.8570532202720642,72.66,8,0.7258064516129032,62
i want to edit my phone number.," To edit your phone number, you can go to the ""Your Account"" section of the Amazon website and click on the ""Contact Information"" tab. From there, you can update your phone number and other contact details.
",95.0,90.0,80.0,85.0,92,4.3808334417233015,0.40625,0.8842414617538452,70.13,8,0.8055555555555556,36
can you delete information about my time zone?," I'm unable to delete specific types of information for you, but you can manage your content and devices associated with your account to delete that information. For example, you can delete your location information in the Alexa app under Settings > Location.
",80.0,60.0,95.0,60.0,85,1.2581149620896306,0.3448275862068966,0.875060498714447,42.21,12,0.8095238095238095,42
can you delete my voice recordings?," Yes, you can delete your voice recordings one by one, by date range, by Alexa-enabled device, or all at once. You can also choose to have your voice recordings older than 3 or 18 months deleted automatically. If you choose not to save any voice recordings, we will automatically delete your voice recordings after we process your requests and all of the voice recordings currently in your Voice History as well.
",95.0,65.0,100.0,95.0,90,2.1831792851719505,0.3585858585858585,0.8921846151351929,64.34,10,0.704225352112676,71
are you sharing my age with others?," Amazon Europe does not share your personal information, including your age, with others except as described in the privacy notice. This includes sharing with third parties for transactions involving their services, third party service providers, business transfers, and protection of Amazon Europe and others.
",85.0,40.0,85.0,85.0,85,4.402591491194746,0.2644628099173554,0.8385177850723267,40.69,10,0.8636363636363636,44
who can access information about my appointments?," We do not collect or store information about your appointments. The information you can access in your account includes your name, address, payment options, profile information, Prime membership, household settings, and purchase history. For more information, you can refer to the sources provided.
",45.0,20.0,65.0,,90,2.306418910775959,0.2479338842975206,0.8382337093353271,48.5,9,0.8604651162790697,43
does the company share user's contacts' information with a third party?," Amazon shares customers' personal information with third parties only as described in their privacy notice. For instance, when you order products from third-party sellers through Amazon's stores, your personal information related to those transactions is shared with the third-party sellers. Additionally, Amazon employs other companies and individuals to perform functions on their behalf. These third-party service providers have access to personal information needed to perform their functions, but may not use it for other purposes. They must process the personal information in accordance with Amazon's privacy notice and as permitted by applicable data protection laws.
",90.0,80.0,100.0,50.0,90,2.871225407782635,0.3742690058479532,0.8605860471725464,26.81,13,0.7473684210526316,95
does it save my email contacts and sell it to 3rd parties?," Amazon Europe does not sell your personal information to third parties without your consent. However, there are certain situations where your personal information may be disclosed to third parties. For instance, when you order products from third-party sellers through Amazon's stores, your personal information is shared with those sellers to facilitate the transaction. Additionally, Amazon may share your personal information with third-party service providers who perform services on Amazon's behalf. These service providers are required to protect your personal information and are not permitted to use it for any other purpose.
",40.0,20.0,100.0,35.0,90,4.973903666772459,0.2441860465116278,0.8499940037727356,36.08,12,0.6813186813186813,91
do you share my location with other people?," Amazon Europe does not share your precise location with third parties without your consent, except as necessary to provide you with the services and features you request. For example, if you use the location feature in the Alexa app to order a ride, we will share your location with the ride service provider to help them pick you up. We also share location information with third parties if it is aggregated or de-identified so that it cannot reasonably be used to identify you.
",50.0,80.0,85.0,80.0,90,2.7199532983663346,0.3058823529411765,0.8502206206321716,51.82,14,0.7228915662650602,83
are you sharing my name?," Amazon shares customers' personal information only as described in their Privacy Notice. This includes sharing with third parties for transactions involving their services, products, applications, or skills provided on or through Amazon Services. For example, if you order products from third-party sellers through Amazon, your name would be shared with the seller for fulfillment purposes.
",70.0,47.0,80.0,,87,0.5818796481195168,0.24,0.8401128053665161,44.44,11,0.8909090909090909,55
who has access to my phone number?," Your phone number is used to communicate with you about your orders, account activity, and promotional offers. It is also used to enable certain features, such as voice ID for Alexa. Access to your phone number is granted to Amazon employees and contractors who need it to provide and improve these services. They are required to maintain the confidentiality of your information and are not authorized to use it for any other purpose.
",60.0,85.0,80.0,85.0,95,1.409928902125236,0.2434782608695652,0.8434626460075378,52.9,10,0.7397260273972602,73
who has access to my time zone?," Your time zone is a piece of information that can be found in the ""Your Account"" section of the website. It's used to provide you with accurate information about the status of your orders and deliveries, as well as to personalize other features and services. Access to this information is controlled by Amazon and any third parties that Amazon hires to provide services on its behalf. These third parties are required to protect your information in accordance with Amazon's data protection policies and are not allowed to use it for any other purpose.
",85.0,80.0,85.0,95.0,90,2.014534333407948,0.3855421686746988,0.8465444445610046,56.29,11,0.6989247311827957,93
who can access my voice recordings?," Your voice recordings are associated with your Amazon account and can be accessed by you through the Alexa privacy settings in the Alexa app or on the Alexa Privacy website. Amazon employees do have access to anonymized voice recordings to improve Alexa's speech recognition and natural language understanding. However, these recordings are not linked to any personally identifiable information.
",80.0,80.0,100.0,90.0,85,4.235319003006122,0.4761904761904762,0.8699669241905212,43.02,13,0.7966101694915254,59
what does the privacy policy say in regards to saving my name?," According to the privacy policy, your personal information is kept for as long as it is required in order to fulfill the purposes described in the policy, or as otherwise communicated to you. It's used to enable your continued use of Amazon Services and to improve the relevancy of products and content recommended to you.
",95.0,60.0,90.0,60.0,90,0.8504439985217588,0.2485207100591715,0.829860508441925,35.1,10,0.6909090909090909,55
what is the latest privacy policy in regards to processing my voice?," Our privacy policy explains how we collect, use, and share your voice recordings. We use your voice recordings to provide and improve our services and develop new features. We also provide you with control over your voice recordings, including the ability to review, delete, and disable the collection and use of your voice recordings. You can manage your voice recording settings in the Alexa app.
",85.0,,,76.0,90,1.586620845655176,0.2828282828282828,0.8531205654144287,63.39,8,0.7076923076923077,65
why do you know my age?," We don't have access to your age unless you have provided it to us. We may ask for your age to ensure that certain products or services are appropriate for you. For example, some products or services have age restrictions.
",95.0,85.0,100.0,90.0,90,2.9235976320993555,0.3255813953488372,0.859279453754425,74.9,6,0.7,40
why do you know my calendar appointments?," We do not access or store your calendar information unless you have given us permission to do so. If you use the Alexa Calendar Skill, you can add, modify, and delete calendar events, and Alexa can read your calendar events to you.
",,60.0,95.0,85.0,95,2.3294227591923544,0.2258064516129032,0.841101884841919,67.08,7,0.7619047619047619,42
why is all my contacts' personal information needed?," We collect and use your contacts' personal information to provide you with features and functionality on Amazon Services, such as the ability to call or message your contacts using Alexa. We also use this information to help you and your contacts connect and communicate with each other. We do not sell or otherwise share your contacts' personal information with third parties for their marketing purposes without your consent.
",70.0,80.0,80.0,88.0,90,0.4404075701744687,0.227027027027027,0.8286046981811523,39.97,14,0.6911764705882353,68
why did you add all my contacts' phone numbers to my contact book?," We do not add your contacts' phone numbers to your contact book without your consent. However, if you have given us permission to access your contacts, we may suggest phone numbers to you as potential matches for voice ID or for contact suggestions. We do not store your contacts' phone numbers unless you add them to your own contact book.
",90.0,55.0,85.0,70.0,90,0.8915972630798126,0.2485875706214689,0.8406996726989746,68.1,9,0.6333333333333333,60
why do you know my email address?," Your email address is used to communicate with you, send you updates about your orders, and to send you promotional emails if you have subscribed to our newsletter.
",70.0,70.0,90.0,85.0,95,2.0234373374008245,0.282051282051282,0.8295326232910156,59.98,9,0.8214285714285714,28
why do you know my location?," We use your location to provide and improve our services. For example, we use your location to determine the delivery address for your orders, to provide location-based services, and to personalize your shopping experience. We may also use location information to help protect against fraud or to provide customer support.
",60.0,30.0,90.0,90.0,90,2.942940195778013,0.328125,0.86223965883255,46.06,12,0.68,50
for what purpose is my name collected?," Your name is collected to provide, troubleshoot, and improve Amazon Services. It's used to identify you and to communicate with you about orders, products, and services. It's also used to personalize your experience with Amazon Services, such as voice recognition for Alexa.
",90.0,70.0,100.0,90.0,90,5.378152324274614,0.3833333333333333,0.8815738558769226,57.27,11,0.7619047619047619,42
what do you need my phone number for?," We use your phone number to communicate with you about your orders, deliveries, and other important information related to your Amazon account. We may also use it to contact you if we need to resolve a problem with your order or if there's an issue with your account.
",25.0,20.0,95.0,95.0,95,0.6523154218319446,0.2666666666666666,0.8379192352294922,55.58,11,0.7083333333333334,48
do you need to know my time zone?," Yes, knowing your time zone helps us to deliver information and services relevant to your location. For example, it allows us to provide you with local weather updates, news, and promotions.
",85.0,70.0,100.0,100.0,95,3.027809826072005,0.2702702702702703,0.8631171584129333,55.74,10,0.8387096774193549,31
why do you record my voice?," We record your voice to provide and improve our services. For example, we use your voice recordings to recognize your voice and respond to your requests. We also use your voice recordings to train our speech recognition and natural language understanding systems using machine learning. This helps Alexa understand and respond to a wide range of customer requests and improve over time.
",85.0,70.0,100.0,100.0,90,3.538082324380839,0.3723404255319149,0.871965765953064,64.2,8,0.6612903225806451,62
