Question,Rag_Rain_dishon,context_adherence,completeness,correctness,answer_relevancy,readability_LLM_eval_Trott,bleu_score,rouge_1,bert_score,readability_score,readability_grade,lexical_diversity,text_length
Can I delete my old calendar history?,"Yes, you can delete your calendar events one by one, by date range, or all at once by visiting the Calendar section in the Alexa app or on the Amazon website. You can also choose to have your calendar events older than 3 or 18 months deleted automatically.",40.0,75,,90.0,90,3.453783827607845,0.3235294117647058,0.8632822036743164,64.04,9,0.7916666666666666,48
Do I have choice or control options for my contacts' information?," Yes, you can manage your contacts in the ""Your Account"" section of the website. You can add, update, or delete contacts. If you don't want Alexa to call or message your contacts, you can disable the feature in the Alexa app.
",50.0,60,90.0,85.0,95,3.665944994887061,0.3733333333333333,0.8869864344596863,82.95,5,0.7317073170731707,41
Can I hide my email address?," You can manage your email address and other contact information in the ""Your Account"" section of the website. However, you cannot hide it completely as it is required for certain features and services, such as receiving order confirmations and communication from Amazon.
",,90,90.0,60.0,90,10.369816700638207,0.4,0.8923332095146179,41.7,13,0.8809523809523809,42
I want to change my name.," To change your name, you need to update your account information. You can do this by logging into your Amazon account and visiting the ""Your Account"" section. From there, you can edit your personal information, including your name. Keep in mind that changing your name may affect your voice ID, and you may need to retrain Alexa to recognize your new name.
",65.0,85,92.0,50.0,95,2.066182288760249,0.2448979591836734,0.8570531606674194,72.66,8,0.7258064516129032,62
I want to edit my phone number.," To edit your phone number, you can go to the ""Your Account"" section of the Amazon website and click on the ""Contact Information"" tab. From there, you can update your phone number and other contact details.
",70.0,90,90.0,70.0,100,4.380833441723301,0.40625,0.8842415809631348,70.13,8,0.8055555555555556,36
Can you delete information about my time zone?," I'm unable to delete specific types of information for you, but you can manage your content and devices associated with your account to delete that information. For example, you can delete your location information in the Alexa app under Settings > Location.
",85.0,75,95.0,70.0,85,1.2581149620896306,0.3448275862068966,0.8750604391098022,42.21,12,0.8095238095238095,42
Can you delete my voice recordings?,"Yes, you can delete your voice recordings one by one, by date range, by Alexa-enabled device, or all at once. You can also choose to have your voice recordings older than 3 or 18 months deleted automatically. If you choose not to save any voice recordings, we will automatically delete your voice recordings after we process your requests and all of the voice recordings currently in your Voice History as well.",80.0,60,95.0,98.0,80,2.1831792851719527,0.3585858585858585,0.8921845555305481,64.34,10,0.704225352112676,71
Are you sharing my age with others?," Amazon Europe does not share your personal information, including your age, with others except as described in the privacy notice. This includes sharing with third parties for transactions involving their services, third party service providers, business transfers, and protection of Amazon Europe and others.
",50.0,65,85.0,70.0,85,4.402591491194746,0.2644628099173554,0.8385177254676819,40.69,10,0.8636363636363636,44
Who can access information about my appointments?," We do not collect or store information about your appointments. The information you can access in your account includes your name, address, payment options, profile information, Prime membership, household settings, and purchase history. For more information, you can refer to the sources provided.
",40.0,20,,,95,2.306418910775959,0.2479338842975206,0.8382335901260376,48.5,9,0.8604651162790697,43
Does the company share user's contacts' information with a third party?," Amazon shares customers' personal information only as described in their Privacy Notice. This includes transactions involving third parties, where personal information is shared with the third party for the specific transaction. For example, if you order a product from a third-party seller through Amazon, your personal information would be shared with that seller. Amazon also shares personal information with third-party service providers who perform functions on their behalf. These third parties have access to personal information needed to perform their functions, but may not use it for other purposes.
",85.0,70,95.0,50.0,85,7.005424574632402,0.3209876543209876,0.8597894310951233,36.49,12,0.7415730337078652,89
Does it save my email contacts and sell it to 3rd parties?," Amazon Europe does not sell your personal information to third parties without your consent. However, there are certain situations where your personal information may be disclosed to third parties, such as when you order products from third-party sellers through Amazon's stores, download applications from third-party application providers from Amazon's App Store, or enable third-party skills through Alexa services. In these cases, your personal information is shared with the third party to facilitate the transaction or provide the service. Amazon also uses third-party service providers to perform functions on its behalf, such as fulfilling orders, delivering packages, sending postal mail and email, removing repetitive information from customer lists, analyzing data, providing marketing assistance, providing search results and links (including paid listings and links), processing payments, transmitting content, assessing and managing credit risk, and providing customer service. These third-party service providers have access to personal information needed to perform their functions, but may not use it for other purposes.
",80.0,50,90.0,30.0,75,1.599820287636084,0.2572614107883818,0.8341186046600342,22.68,17,0.7070063694267515,157
Do you share my location with other people?," We do not share your precise location with third parties without your consent, except as necessary to provide you with the services and features you request. For example, if you use the location feature in Alexa to order a ride, we will share your location with the ride service provider to ensure the ride goes to the correct location.
",85.0,70,,90.0,92,2.1351764392166768,0.2896551724137931,0.8487844467163086,58.45,9,0.711864406779661,59
Are you sharing my name?," Amazon Europe shares customers' personal information only as described in their privacy notice. This includes transactions involving third parties, third party service providers, business transfers, and protection of Amazon Europe and others. However, you will receive notice when personal information about you might be shared with third parties and you will have an opportunity to choose not to share the information.
",25.0,75,80.0,,90,0.6155596244213809,0.2926829268292683,0.83697110414505,42.41,12,0.8032786885245902,61
Who has access to my phone number?," Your phone number is used to communicate with you about your orders, account activity, and promotional offers. It is also used to enable certain features, such as voice ID for Alexa. Access to your phone number is granted to Amazon employees and contractors who need it to provide and improve these services. They are required to maintain the confidentiality of your information and are not authorized to use it for any other purpose.
",50.0,65,75.0,90.0,90,1.409928902125236,0.2434782608695652,0.8434626460075378,52.9,10,0.7397260273972602,73
