Question,RAG+RAIN_Readability,context_adherence,completeness,correctness,answer_relevancy,readability_LLM_eval_Trott,bleu_score,rouge_1,bert_score,readability_score,readability_grade,lexical_diversity,text_length
can i delete my old calendar history?," Yes, you can delete your calendar events one by one, by date range, or all at once by visiting the Calendar section in the Alexa app or on the Amazon website. You can also choose to have your calendar events older than 3 or 18 months deleted automatically.
",60.0,75.0,80.0,90.0,95,3.453783827607845,0.3235294117647058,0.8632822036743164,64.04,9,0.7916666666666666,48
do i have choice or control options for my contacts' information?," Yes, you can manage your contacts in the ""Your Account"" section of the website. You can add, update, or delete contacts. If you don't want Alexa to access your contacts, you can adjust your settings in the Alexa app or on your device.
",60.0,43.0,60.0,90.0,90,4.078584163002862,0.3947368421052631,0.8896661400794983,82.34,5,0.7209302325581395,43
can i hide my email address?," You can manage your email address and other contact information in the ""Your Account"" section of the website. However, you cannot hide it entirely as we use it to communicate with you about your orders, account activity, and other important information.
",90.0,,70.0,,90,11.2798438773496,0.463768115942029,0.8972733020782471,42.21,12,0.8536585365853658,41
i want to change my name.," To change your name in your Amazon account, go to the ""Your Account"" section of the website. Click on the ""Personal Information"" tab, then select ""Edit"" next to your name. Make the desired changes and click ""Save and Continue"" to complete the process.
",80.0,85.0,,60.0,95,1.9405391848516156,0.1772151898734177,0.8496588468551636,73.88,8,0.7906976744186046,43
i want to edit my phone number.," To edit your phone number, you can go to the ""Your Account"" section of the Amazon website and click on the ""Contact Information"" tab. From there, you can update your phone number and other contact details.
",85.0,,40.0,90.0,95,4.3808334417233015,0.40625,0.8842414617538452,70.13,8,0.8055555555555556,36
can you delete information about my time zone?," I'm unable to delete specific types of information for you. However, you can manage your content and devices associated with your account to delete certain information. For example, you can delete your location information in the Alexa app under Settings > Location.
",,60.0,90.0,70.0,90,1.321361093854157,0.3620689655172414,0.8769732713699341,40.65,10,0.8095238095238095,42
can you delete my voice recordings?," Yes, you can delete your voice recordings one by one, by date range, by Alexa-enabled device, or all at once. You can also choose to have your voice recordings older than 3 or 18 months deleted automatically. If you choose not to save any voice recordings, we will automatically delete your voice recordings after we process your requests and all of the voice recordings currently in your Voice History as well.
",70.0,55.0,90.0,90.0,85,2.1831792851719505,0.3585858585858585,0.8921846151351929,64.34,10,0.704225352112676,71
are you sharing my age with others?," No, we do not share your age with others unless you give us permission or when required by law.
",60.0,80.0,90.0,100.0,95,1.041938301941782,0.2291666666666666,0.8392572402954102,77.57,6,1.0,19
who can access information about my appointments?," We do not collect or store information about your appointments. The information you can access in your account includes your name, address, payment options, profile information, Prime membership, household settings, and purchase history. For more information, you can refer to the sources provided.
",25.0,0.0,,35.0,92,2.306418910775959,0.2479338842975206,0.8382337093353271,48.5,9,0.8604651162790697,43
does the company share user's contacts' information with a third party?," Amazon shares customers' personal information with third parties only as described in their privacy notice. For instance, when you order products from third-party sellers through Amazon's stores, your personal information related to those transactions is shared with the third party. Additionally, Amazon employs other companies and individuals to perform functions on their behalf, and these third-party service providers have access to personal information needed to perform their functions but may not use it for other purposes.
",90.0,60.0,90.0,,85,3.4502714671285237,0.3466666666666667,0.8612352609634399,28.88,15,0.7763157894736842,76
