Question,RAG+RAIN_Correctness,context_adherence,completeness,correctness,answer_relevancy,readability_LLM_eval_Trott,bleu_score,rouge_1,bert_score,readability_score,readability_grade,lexical_diversity,text_length
Can I delete my old calendar history?,"Yes, you can delete your calendar events one by one, by date range, or all at once by visiting the Calendar section in the Alexa app or on the Amazon website. You can also choose to have your calendar events older than 3 or 18 months deleted automatically.",,60.0,85.0,75.0,90,3.453783827607845,0.3235294117647058,0.8632822036743164,64.04,9,0.7916666666666666,48
Do I have choice or control options for my contacts' information?,"Yes, you can manage your contacts in the \""Your Account\"" section of the website. You can add, update, or delete contacts. If you don't want Alexa to call or message your contacts, you can disable the feature in the Alexa app or website.",40.0,77.0,80.0,85.0,95,4.057384430657231,0.368421052631579,0.8839349150657654,82.34,5,0.6976744186046512,43
Can I hide my email address?,"You can manage your email address and other contact information in the \""Your Account\"" section of the website. If you don't want to receive promotional emails from Amazon, you can opt out of receiving them. However, you cannot hide your email address completely as it is required for certain functions, such as making purchases or receiving order confirmations.",60.0,70.0,,,95,7.480447919606816,0.367816091954023,0.8786661028862,51.89,12,0.8275862068965517,58
I want to change my name.,"To update your personal information, including your name, go to the \""Your Account\"" section of the Amazon website. You can find a link to this section in Source 1. Once you're there, you should be able to update your personal information.",80.0,,85.0,80.0,90,3.162593967015062,0.358974358974359,0.8633992075920105,66.03,7,0.8048780487804879,41
I want to edit my phone number.,"To edit your phone number, you can go to the \""Your Account\"" section of the Amazon website and click on the \""Contact Information\"" tab. From there, you can update your phone number and other contact details.",95.0,85.0,90.0,90.0,95,4.003759215740339,0.40625,0.8756559491157532,70.13,8,0.8055555555555556,36
Can you delete information about my time zone?,"I'm unable to delete specific pieces of information, such as your time zone, for you. However, you can manage your content and devices associated with your account at Manage Your Content and Devices <https://www.amazon.com/-/de/mycd> to see what information is being stored and delete it if desired.",85.0,60.0,100.0,80.0,85,5.050630548071741,0.2539682539682539,0.8585801720619202,47.49,10,0.8695652173913043,46
Can you delete my voice recordings?,"Yes, you can delete your voice recordings one by one, by date range, by Alexa-enabled device, or all at once. You can also choose to have your voice recordings older than 3 or 18 months deleted automatically. If you choose not to save any voice recordings, we will automatically delete your voice recordings after we process your requests and all of the voice recordings currently in your Voice History as well.",,60.0,100.0,100.0,95,2.1831792851719527,0.3585858585858585,0.8921845555305481,64.34,10,0.704225352112676,71
Are you sharing my age with others?,"Amazon does not share your age with third parties unless you give us permission or when the information is required by law.
",55.0,80.0,90.0,90.0,90,0.5098029287343484,0.2424242424242424,0.8437861800193787,66.07,9,1.0,22
Who can access information about my appointments?,"We do not collect or store information about your appointments. The information you can access in your account includes your name, address, payment options, profile information, Prime membership, household settings, and purchase history. For more information, you can refer to the sources provided.",30.0,15.0,,,90,2.306418910775959,0.2479338842975206,0.8382335901260376,48.5,9,0.8604651162790697,43
Does the company share user's contacts' information with a third party?," Amazon shares customers' personal information only as described in their privacy notice. For transactions involving third parties, Amazon makes available to you services, products, applications, or skills provided by third parties for use on or through Amazon Services. In such cases, Amazon shares customers' personal information related to those transactions with that third party. Amazon also employs other companies and individuals to perform functions on their behalf. These third-party service providers have access to personal information needed to perform their functions, but may not use it for other purposes. They must process the personal information in accordance with Amazon's privacy notice and as permitted by applicable data protection laws.",95.0,60.0,85.0,80.0,90,5.067000193944988,0.3626373626373626,0.8523237705230713,36.08,12,0.6972477064220184,109
